Type,Age,Gender,Education,MaritalStatus,WeeklyUse,Fitness,Income,Kms
Basic,18,Male,14,Single,3,4,29562,180
Basic,19,Male,15,Single,2,3,31836,121
Basic,19,Female,14,Partnered,4,3,30699,106
Basic,19,Male,12,Single,3,3,32973,137
Basic,20,Male,13,Partnered,4,2,35247,76
Basic,20,Female,14,Partnered,3,3,32973,106
Basic,21,Female,14,Partnered,3,3,35247,121
Basic,21,Male,13,Single,3,3,32973,137
Basic,21,Male,15,Single,5,4,35247,227
Basic,21,Female,15,Partnered,2,3,37521,137
Basic,22,Male,14,Single,3,3,36384,137
Basic,22,Female,14,Partnered,3,2,35247,106
Basic,22,Female,16,Single,4,3,36384,121
Basic,22,Female,14,Single,3,3,35247,121
Basic,23,Male,16,Partnered,3,1,38658,76
Basic,23,Male,16,Partnered,3,3,40932,121
Basic,23,Female,14,Single,2,3,34110,166
Basic,23,Male,16,Partnered,4,3,39795,151
Basic,23,Female,16,Single,4,3,38658,182
Basic,23,Female,15,Partnered,2,2,34110,61
Basic,23,Male,14,Single,4,3,38658,182
Basic,23,Male,16,Single,4,3,40932,151
Basic,24,Female,16,Single,4,3,42069,151
Basic,24,Female,16,Partnered,5,5,44343,303
Basic,24,Male,14,Single,2,3,45480,182
Basic,24,Male,13,Partnered,3,2,42069,76
Basic,24,Female,16,Single,4,3,46617,121
Basic,25,Female,14,Partnered,3,3,48891,121
Basic,25,Male,14,Partnered,2,3,45480,90
Basic,25,Female,14,Partnered,2,2,53439,76
Basic,25,Female,14,Partnered,3,3,39795,137
Basic,25,Male,16,Single,3,4,40932,182
Basic,25,Female,16,Partnered,2,2,40932,76
Basic,25,Male,16,Single,3,3,43206,137
Basic,26,Female,14,Partnered,3,4,44343,182
Basic,26,Female,16,Partnered,4,3,52302,182
Basic,26,Male,16,Partnered,2,2,53439,76
Basic,26,Male,16,Partnered,3,3,51165,137
Basic,26,Female,16,Single,3,3,36384,106
Basic,26,Male,16,Partnered,4,4,44343,212
Basic,26,Male,16,Single,3,3,50028,137
Basic,27,Female,14,Partnered,3,2,45480,106
Basic,27,Male,16,Single,4,3,54576,137
Basic,27,Female,14,Partnered,2,3,45480,90
Basic,28,Female,14,Partnered,2,3,46617,90
Basic,28,Female,16,Partnered,2,3,52302,106
Basic,28,Male,14,Single,3,3,52302,166
Basic,28,Female,14,Partnered,3,3,54576,151
Basic,28,Male,14,Single,4,3,54576,182
Basic,28,Female,16,Partnered,3,3,51165,90
Basic,29,Male,18,Partnered,3,3,68220,137
Basic,29,Female,14,Partnered,2,2,46617,61
Basic,29,Female,16,Partnered,4,3,50028,151
Basic,30,Male,14,Partnered,4,4,46617,227
Basic,30,Male,14,Single,3,3,54576,137
Basic,31,Male,14,Partnered,2,2,54576,76
Basic,31,Female,14,Single,2,2,45480,76
Basic,32,Female,14,Single,3,4,46617,182
Basic,32,Male,14,Partnered,4,3,52302,137
Basic,33,Female,16,Single,2,2,55713,61
Basic,33,Female,16,Partnered,3,3,46617,137
Basic,34,Male,16,Single,4,5,51165,272
Basic,34,Female,16,Single,2,2,52302,106
Basic,35,Male,16,Partnered,4,3,48891,137
Basic,35,Female,16,Partnered,3,3,60261,151
Basic,35,Female,18,Single,3,3,67083,137
Basic,36,Male,12,Single,4,3,44343,151
Basic,37,Female,16,Partnered,3,3,37521,137
Basic,38,Male,16,Partnered,3,3,46617,121
Basic,38,Female,14,Partnered,2,3,54576,90
Basic,38,Male,14,Single,2,3,52302,90
Basic,38,Male,16,Partnered,3,3,56850,121
Basic,39,Male,16,Partnered,4,4,59124,212
Basic,40,Male,16,Partnered,3,3,61398,106
Basic,41,Male,16,Partnered,4,3,54576,166
Basic,43,Male,16,Partnered,3,3,53439,106
Basic,44,Female,16,Single,3,4,57987,121
Basic,46,Female,16,Partnered,3,2,60261,76
Basic,47,Male,16,Partnered,4,3,56850,151
Basic,50,Female,16,Partnered,3,3,64809,106
Care,19,Male,14,Single,3,3,31836,103
Care,20,Male,14,Single,2,3,32973,85
Care,20,Female,14,Partnered,3,3,34110,171
Care,20,Male,14,Single,3,3,38658,153
Care,21,Female,14,Partnered,5,4,34110,341
Care,21,Male,16,Partnered,2,2,34110,68
Care,21,Male,12,Partnered,2,2,32973,85
Care,23,Male,14,Partnered,3,3,36384,153
Care,23,Male,14,Partnered,3,3,38658,137
Care,23,Female,16,Single,3,3,45480,153
Care,23,Male,16,Partnered,4,3,45480,204
Care,23,Female,16,Partnered,3,2,43206,119
Care,23,Female,14,Single,3,2,40932,85
Care,23,Male,16,Partnered,3,3,45480,103
Care,24,Female,14,Single,3,2,40932,137
Care,24,Male,14,Single,3,4,48891,171
Care,24,Female,16,Single,3,3,50028,171
Care,25,Female,14,Partnered,2,3,45480,137
Care,25,Female,14,Single,3,4,43206,204
Care,25,Male,16,Partnered,2,2,52302,68
Care,25,Female,14,Partnered,5,3,47754,171
Care,25,Male,14,Single,3,3,45480,153
Care,25,Female,14,Single,2,3,43206,103
Care,25,Male,14,Partnered,4,3,45480,274
Care,25,Male,14,Partnered,3,4,43206,171
Care,25,Male,16,Partnered,2,3,50028,85
Care,25,Female,14,Single,2,2,45480,68
Care,25,Male,14,Single,4,3,48891,204
Care,26,Female,16,Partnered,4,3,45480,137
Care,26,Female,16,Single,4,4,50028,204
Care,26,Male,16,Single,4,3,51165,171
Care,27,Male,14,Single,4,2,45480,85
Care,29,Female,14,Partnered,3,3,51165,153
Care,30,Female,14,Single,3,3,57987,119
Care,30,Female,13,Single,4,3,46617,171
Care,31,Male,16,Partnered,3,3,52302,153
Care,31,Female,16,Partnered,2,3,51165,103
Care,31,Female,18,Single,2,1,65220,34
Care,32,Male,16,Single,4,3,60261,204
Care,32,Male,16,Partnered,3,3,53439,153
Care,33,Male,13,Partnered,4,4,53439,274
Care,33,Female,16,Partnered,2,3,50028,137
Care,33,Male,16,Partnered,3,3,51165,153
Care,33,Female,16,Partnered,5,3,53439,153
Care,33,Female,18,Single,3,4,47754,119
Care,34,Female,16,Partnered,4,3,64809,153
Care,34,Male,16,Partnered,3,4,59124,137
Care,34,Male,15,Single,3,3,67083,137
Care,35,Female,14,Partnered,3,2,52302,85
Care,35,Male,16,Partnered,3,2,53439,85
Care,35,Female,16,Single,3,2,50028,103
Care,35,Male,16,Partnered,3,3,53439,153
Care,37,Female,16,Partnered,2,3,48891,137
Care,38,Female,16,Partnered,4,3,62535,137
Care,38,Male,16,Partnered,3,3,59124,171
Care,40,Female,16,Partnered,3,3,61398,137
Care,40,Female,16,Single,3,3,57987,137
Care,40,Male,16,Partnered,3,3,64809,153
Care,45,Male,16,Partnered,2,2,54576,68
Care,48,Male,16,Partnered,2,3,57987,103
Premium,22,Male,14,Single,4,3,48658,171
Premium,22,Male,16,Single,3,5,54781,193
Premium,22,Male,18,Single,4,5,48556,322
Premium,23,Male,16,Single,4,5,58516,225
Premium,23,Female,18,Single,5,4,53536,161
Premium,23,Male,16,Single,4,5,48556,161
Premium,24,Male,16,Single,4,5,61006,161
Premium,24,Male,18,Partnered,4,5,57271,129
Premium,24,Female,16,Single,5,5,52291,322
Premium,24,Male,16,Single,5,5,49801,257
Premium,25,Male,16,Partnered,4,5,49801,193
Premium,25,Male,16,Partnered,4,4,62251,257
Premium,25,Female,18,Partnered,5,5,61006,322
Premium,25,Male,18,Partnered,4,3,64741,161
Premium,25,Male,18,Partnered,6,4,70966,290
Premium,25,Male,18,Partnered,6,5,75946,386
Premium,25,Male,20,Partnered,4,5,74701,274
Premium,26,Female,21,Single,4,3,69721,161
Premium,26,Male,16,Partnered,5,4,64741,290
Premium,27,Male,16,Partnered,4,5,83416,257
Premium,27,Male,18,Single,4,3,88396,161
Premium,27,Male,21,Partnered,4,4,90886,161
Premium,28,Female,18,Partnered,6,5,92131,290
Premium,28,Male,18,Partnered,7,5,77191,290
Premium,28,Male,18,Single,6,5,88396,241
Premium,29,Male,18,Single,5,5,52290,290
Premium,29,Male,14,Partnered,7,5,85906,483
Premium,30,Female,16,Partnered,6,5,90886,451
Premium,30,Male,18,Partnered,5,4,103336,257
Premium,30,Male,18,Partnered,5,5,99601,241
Premium,31,Male,16,Partnered,6,5,89641,418
Premium,33,Female,18,Partnered,4,5,95866,322
Premium,34,Male,16,Single,5,5,92131,241
Premium,35,Male,16,Partnered,4,5,92131,579
Premium,38,Male,18,Partnered,5,5,104581,241
Premium,40,Male,21,Single,6,5,83416,322
Premium,42,Male,18,Single,5,4,89641,322
Premium,45,Male,16,Single,5,5,90886,257
Premium,47,Male,18,Partnered,4,5,104581,193
Premium,48,Male,18,Partnered,4,5,95508,290
